id,ticker,signal_type,session,entry_low,entry_high,tp_price,sl_price,tp_pct,sl_pct,score,wyckoff_phase,cmf_value,obv_direction,broker_crossing,vcp_grade,rs_interp,rationale,timestamp_wib,status,exit_price,exit_timestamp,pnl_pct,days_held,notes
BMP-ULTJ-20260804-SIG,ULTJ,BUY,POST_OPEN,1505.0,1520.0,1670.0,1439.0,11.0,4.4,52,D — Sign of Strength,-0.4066,Rising ▲,—,NONE,IN LINE →,"OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100 · Intraday 1,505",2026-08-04 03:50:58,EXPIRED,1495.0,2026-09-01 07:34:45,-0.66,20,Expired 20 hari
BMP-ULTJ-20260804-MID,ULTJ,BUY,MIDDAY,1510.0,1525.0,1675.0,1444.0,10.9,4.4,50,D — Sign of Strength,-0.3658,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100,2026-08-04 05:33:19,EXPIRED,1495.0,2026-09-01 07:34:45,-0.99,20,Expired 20 hari
BMP-ULTJ-20260804-POST,ULTJ,BUY,POST_MARKET,1515.0,1530.0,1680.0,1449.0,10.9,4.4,52,D — Sign of Strength,-0.3141,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100 · Vol 2.5x,2026-08-04 11:31:21,EXPIRED,1495.0,2026-09-01 07:34:46,-1.32,20,Expired 20 hari
BMP-SMGR-20260804-POST,SMGR,BUY,POST_MARKET,1530.0,1545.0,1705.0,1460.0,11.4,4.6,41,B — Indeterminate,0.0913,Rising ▲,—,NONE,IN LINE →,CMF +0.091 (inflow) · OBV naik ▲,2026-08-04 11:31:22,WIN,1705.0,2026-09-01 07:34:46,11.44,20,TP hit
BMP-TOWR-20260805-MID,TOWR,BUY,MIDDAY,416.0,420.0,468.0,395.0,12.5,5.0,51,B — Indeterminate,0.3849,Rising ▲,—,NONE,IN LINE →,CMF +0.385 (inflow kuat) · OBV naik ▲,2026-08-05 05:32:36,LOSS,395.0,2026-08-10 08:13:59,-5.05,3,SL hit
BMP-ULTJ-20260805-MID,ULTJ,BUY,MIDDAY,1490.0,1505.0,1660.0,1422.0,11.4,4.6,52,D — Sign of Strength,-0.3316,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 83/100,2026-08-05 08:06:11,OPEN,,,,,
BMP-ANTM-20260805-MID,ANTM,BUY,MIDDAY,3050.0,3080.0,3412.0,2905.0,11.9,4.8,50,D — Sign of Strength,-0.1454,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Vol 1.7x,2026-08-05 08:06:11,OPEN,,,,,
BMP-ANTM-20260805-POST,ANTM,BUY,POST_MARKET,3070.0,3101.0,3432.0,2925.0,11.8,4.7,55,D — Sign of Strength,-0.1146,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Vol 1.7x,2026-08-05 08:13:39,OPEN,,,,,
BMP-ULTJ-20260805-POST,ULTJ,BUY,POST_MARKET,1490.0,1505.0,1660.0,1422.0,11.4,4.6,52,D — Sign of Strength,-0.3318,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 83/100,2026-08-05 08:13:43,OPEN,,,,,
BMP-ANTM-20260806-MID,ANTM,BUY,MIDDAY,3130.0,3161.0,3500.0,2982.0,11.8,4.7,50,D — Sign of Strength,-0.1807,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-06 03:19:17,OPEN,,,,,
BMP-HRUM-20260806-SIG,HRUM,BUY,POST_OPEN,865.0,874.0,1002.0,810.0,15.8,6.4,56,B — Indeterminate,0.0999,Rising ▲,—,NONE,OUTPERFORM ▲,CMF +0.100 (inflow) · OBV naik ▲ · RS OUTPERFORM ▲ · Vol 2.1x,2026-08-06 03:53:32,LOSS,810.0,2026-08-07 04:37:20,-6.36,1,SL hit
BMP-ANTM-20260806-SIG,ANTM,BUY,POST_OPEN,3110.0,3141.0,3480.0,2962.0,11.9,4.8,44,D — Sign of Strength,-0.2241,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-06 03:53:32,OPEN,,,,,
BMP-AALI-20260806-POST,AALI,BUY,POST_MARKET,7150.0,7222.0,7908.0,6847.0,10.6,4.2,57,B — Indeterminate,0.2407,Rising ▲,—,NONE,IN LINE →,CMF +0.241 (inflow kuat) · OBV naik ▲ · Weekly 77/100,2026-08-06 11:31:24,WIN,7908.0,2026-08-20 07:23:17,10.6,10,TP hit
BMP-ANTM-20260806-POST,ANTM,BUY,POST_MARKET,3080.0,3111.0,3450.0,2932.0,12.0,4.8,37,D — Sign of Strength,-0.2376,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Vol 1.7x,2026-08-06 11:31:25,OPEN,,,,,
BMP-BBRI-20260807-POST,BBRI,BUY,POST_MARKET,3130.0,3161.0,3368.0,3035.0,7.6,3.0,58,B — Indeterminate,0.0649,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Vol 1.5x,2026-08-07 10:08:54,WIN,3368.0,2026-09-01 08:51:56,7.6,17,TP hit
BMP-ANTM-20260807-POST,ANTM,BUY,POST_MARKET,3160.0,3192.0,3532.0,3011.0,11.8,4.7,55,D — Sign of Strength,-0.1285,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-07 10:08:55,LOSS,3011.0,2026-08-13 08:49:25,-4.72,4,SL hit
BMP-ULTJ-20260810-SIG,ULTJ,BUY,POST_OPEN,1505.0,1520.0,1662.0,1442.0,10.4,4.2,53,D — Sign of Strength,-0.2646,Rising ▲,—,NONE,IN LINE →,"OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100 · Intraday 1,505",2026-08-10 04:16:01,OPEN,,,,,
BMP-MYOR-20260810-SIG,MYOR,BUY,POST_OPEN,1710.0,1727.0,1875.0,1644.0,9.6,3.9,37,C — Spring ⭐,-0.2862,Falling ▼,—,NONE,UNDERPERFORM ▼,Wyckoff C — Spring ⭐,2026-08-10 04:16:02,LOSS,1644.0,2026-08-24 03:59:46,-3.86,10,SL hit
BMP-ANTM-20260810-MID,ANTM,BUY,MIDDAY,3180.0,3212.0,3550.0,3032.0,11.6,4.7,53,D — Sign of Strength,-0.1369,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-10 06:54:02,LOSS,3032.0,2026-08-13 08:49:25,-4.65,3,SL hit
BMP-ULTJ-20260810-MID,ULTJ,BUY,MIDDAY,1500.0,1515.0,1660.0,1436.0,10.7,4.3,50,D — Sign of Strength,-0.2931,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100,2026-08-10 06:54:03,OPEN,,,,,
BMP-MYOR-20260810-MID,MYOR,BUY,MIDDAY,1720.0,1737.0,1888.0,1653.0,9.8,3.9,38,C — Spring ⭐,-0.2558,Falling ▼,—,NONE,IN LINE →,Wyckoff C — Spring ⭐,2026-08-10 06:54:04,LOSS,1653.0,2026-08-19 09:23:17,-3.9,7,SL hit
